englisch,deutsch
abundant,reichlich
accurate,genau/treffend
adequate,angemessen
advancement,Fortschritt/Beförderung
advocacy,Fürsprache/Befürwortung
allegedly,angeblich
amend,ändern/novellieren
apparent,offensichtlich/scheinbar
assumption,Annahme
capability,Leistungsfähigkeit
chronicle,chronologisch darstellen
coherent,kohärent/stimmig
coincide,zusammenfallen/übereinstimmen
comprehensive,umfassend
compelling,überzeugend/fesselnd
concede,eingestehen/zugestehen
conducive,förderlich
confine,einschränken/begrenzen
contempt,Verachtung
controversial,umstritten
converge,sich annähern/zusammenlaufen
credibility,Glaubwürdigkeit
cumulative,kumulativ
deficiency,Mangel/Defizit
deliberate,absichtlich/wohlüberlegt
deploy,einsetzen/ausrollen
deteriorate,sich verschlechtern
deviation,Abweichung
diminish,vermindern/abnehmen
discretion,Ermessen/Diskretion
disparity,Ungleichheit/Diskrepanz
disseminate,verbreiten/streuen
divergent,abweichend/divergierend
elaborate,ausführlich/ausarbeiten
elicite,hervorrufen/entlocken
embody,verkörpern
emerge,auftauchen/entstehen
empirical,empirisch
endeavor,Bestreben/bemühen
endure,ertragen/andauern
enforce,durchsetzen
feasible,machbar/durchführbar
fluctuate,schwanken
foresee,voraussehen
formidable,beeindruckend/gewaltig
foster,fördern
implication,Folgerung/Auswirkung
inadvertently,versehentlich
incentive,Anreiz
inhibit,hemmen
insightful,aufschlussreich
integrity,Integrität/Unversehrtheit
intricate,komplex/verschachtelt
mitigate,mildern/abmildern
notwithstanding,ungeachtet
plausible,plausibel
precise,genau/präzise
predominantly,überwiegend
preliminary,vorläufig
prevalent,verbreitet/vorherrschend
profound,tiefgreifend
redundant,überflüssig
reinforce,verstärken
salient,auffällig/hervorstechend
scrutinize,gründlich prüfen
subsequent,nachfolgend/anschließend
substantiate,begründen/belegen
threshold,Schwelle
viable,durchführbar/lebensfähig
